Year,"Country / territory of asylum/residence",Origin,"RSD procedure type / level","Tota pending start-year","of which UNHCR-assisted","Applied during year",statistics.filter.decisions_recognized,statistics.filter.decisions_other,Rejected,"Otherwise closed","Total decisions","Total pending end-year","of which UNHCR-assisted"
2016,"United Kingdom",Aruba,"G / RA",,,,,,,,,,
2016,"United Kingdom",Aruba,"G / FI",,,,,,,,,,
2016,"United Kingdom",Aruba,"G / AR",,,,,,,,,,
2016,Angola,Afghanistan,"G / FI",1,,,,,,,,1,
2016,Albania,Afghanistan,"G / FI",,,64,,,,64,64,,
2016,"United Arab Emirates",Afghanistan,"U / NA",,,18,,,,,,18,18
2016,Argentina,Afghanistan,"G / FI",1,,1,,,,,,2,2
2016,Armenia,Afghanistan,"G / FI",2,2,,,,2,,2,,
2016,Armenia,Afghanistan,"G / JR",,,2,,,,,,2,2
2016,Australia,Afghanistan,"G / AR",66,,33,42,,20,2,64,35,
2016,Australia,Afghanistan,"G / FI",899,,2563,1415,,76,,1491,2042,
2016,Austria,Afghanistan,"G / FA",24267,,11522,1756,1693,182,2489,6120,29783,
2016,Azerbaijan,Afghanistan,"G / AR",,,12,12,,,,12,,
2016,Azerbaijan,Afghanistan,"G / FI",,,,4,,95,12,111,,
2016,Azerbaijan,Afghanistan,"U / FI",123,123,85,60,,9,33,102,106,106
2016,Belgium,Afghanistan,"G / JR",74,,388,3,2,346,10,361,119,
2016,Belgium,Afghanistan,"G / FI",1569,,2227,656,830,583,88,2157,6338,
2016,Belgium,Afghanistan,"G / RA",,,540,,,,381,381,,
2016,Bulgaria,Afghanistan,"G / RA",,,183,,,,,,183,183
2016,Bulgaria,Afghanistan,"G / FI",3241,3241,8613,2,9,430,,441,7453,7453
2016,"Bosnia and Herzegovina",Afghanistan,"G / FI",,,3,,,,,,3,3
2016,Belarus,Afghanistan,"G / FI",4,,21,,1,9,9,19,6,5
2016,Belarus,Afghanistan,"G / JR",1,,2,,,2,,2,1,1
2016,Brazil,Afghanistan,"G / FI",43,43,13,17,5,,,22,34,16
2016,Canada,Afghanistan,"G / FI",286,,624,469,,84,22,575,456,
2016,Switzerland,Afghanistan,"G / FI",7243,,3183,215,1180,166,1436,2997,7761,
2016,Switzerland,Afghanistan,"G / FI",,,46,,,,,,,
2016,China,Afghanistan,"U / FI",1,1,20,,,,1,1,20,20
2016,Colombia,Afghanistan,"G / FI",5,5,,5,,,,5,,
2016,"Costa Rica",Afghanistan,"G / FI",,,2,,,,2,2,,
2016,Cuba,Afghanistan,"U / FA",23,23,31,35,,9,10,54,,
2016,Cyprus,Afghanistan,"G / RA",,,2,,,1,,1,1,
2016,Cyprus,Afghanistan,"G / FI",16,16,1,,,,10,10,7,4
2016,Cyprus,Afghanistan,"G / AR",1,,,,,,,,1,1
2016,"Czech Rep.",Afghanistan,"G / FI",6,,36,5,16,,12,33,16,
2016,"Czech Rep.",Afghanistan,"G / RA",,,1,,,,,,,
2016,Germany,Afghanistan,"G / RA",909,,880,166,169,83,447,865,1474,
2016,Germany,Afghanistan,"G / NA",38014,,127012,13647,24108,24734,4892,67381,101382,
2016,Germany,Afghanistan,"G / JR",3679,,,268,594,702,2291,3855,23666,
2016,Denmark,Afghanistan,"G / FI",172,,1154,43,187,,654,884,1177,
2016,Denmark,Afghanistan,"G / AR",45,,612,25,39,,197,261,378,
2016,Egypt,Afghanistan,"U / AR",,,4,,,,,,4,4
2016,Egypt,Afghanistan,"U / FI",33,33,6,13,,4,6,23,16,16
2016,Egypt,Afghanistan,"U / RA",1,1,,,,,,,1,1
2016,Spain,Afghanistan,"G / FI",115,,69,14,27,6,,47,115,
2016,Estonia,Afghanistan,"G / FI",3,,,7,,,,7,,
2016,Finland,Afghanistan,"G / FI",5099,,697,449,490,3448,765,5152,967,
2016,Finland,Afghanistan,"G / RA",8,,60,3,,17,20,40,19,
