Web ID,Region of Incident,Reported day,Reported Month,Reported Year,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Source Quality,Migration Route,URL,UNSD Geographical Grouping,Longitude,Latitude
52491,Mediterranean,14,Oct,2019,2,6,2,33,1,1,2,Drowning,"Off the coast of Altınova, Ayvalık, Balıkesir province, Turkey","IOM Turkey, Turkish Coast Guard",5,Eastern Mediterranean,"http://bit.ly/2IM85We, http://bit.ly/2IMOxAY, http://bit.ly/2oDGHmo",Uncategorized,39.207629332807,26.683134343416
52496,Europe,14,Oct,2019,2,6,2,14,1,2,1,Drowning,"Bodies recovered on Le Touquet, Pas-de-Calais, France","Franceinfo, Le Monde",3,Western Europe,"http://bit.ly/2pm5ZW8, http://bit.ly/32kxFt6",Western Europe,50.524419783820,1.556037455696
52495,US-Mexico Border,12,Oct,2019,1,6,1,14,1,1,1,Drowning,"Río Bravo, near La Playita, Reynosa, Tamaulipas, Mexico","El Mañana, Milenio",3,Central America,"http://bit.ly/35tCuCp, http://bit.ly/2piU7V7",Central America,26.144549816768,-98.332108082516
52494,Central America,11,Oct,2019,3,6,3,8,1,3,1,Drowning,"Off the coast of Tonalá, between Puerto Arista and Paredón, Chiapas, Mexico (Pacific Sea)","Instituto Nacional de Migración, El Universal, Al Jazeera, Debate",5,Central America,"http://bit.ly/2pmU6PG, http://bit.ly/2MeL8gy, http://bit.ly/2nNszGY, http://bit.ly/2MdZLkf",Central America,15.880321192613,-93.833002001726
52489,Europe,9,Oct,2019,3,6,3,12,1,1,1,Vehicle Accident,"Road near Areti, 40km northeast of Thessaloniki, Greece","IOM Greece, Ekathimerini",4,Southern Europe,http://bit.ly/2VsDDpg,Southern Europe,40.740769378941,23.256371964803
52493,North Africa,9,Oct,2019,1,6,1,14,1,1,1,Hit by truck,"Road near Béni Ensar, Nador, Morocco, near border with Melilla",Association Marocaine des Droits Humains - Section Nador,4,Northern Africa,http://bit.ly/2OLElNe,Northern Africa,35.262748226875,-2.937650888372
52492,Central America,8,Oct,2019,1,6,1,14,1,1,1,Hit by train,"Train tracks near Calle Azteca Sur and Bulevar del Río Españita, San Luis de Potosí, Mexico",Pulso Diario de San Luis,1,Central America,http://bit.ly/2BcWMlT,Central America,22.142526392848,-100.962295713920
52483,Mediterranean,7,Oct,2019,13,15,28,22,13,1,4,Drowning,Off the coast of Lampedusa - boat departed from Tunisia,IOM Italy,4,Central Mediterranean,"http://bit.ly/30SkUof, http://bit.ly/2IvbHf3, http://bit.ly/2p4cZXP",Uncategorized,35.210549549164,12.180541076066
52488,US-Mexico Border,7,Oct,2019,1,6,1,14,1,1,1,Drowning,"Río Bravo, near colonia Carmen Serdán, Reynosa, Tamaulipas, Mexico",Hoy Tamaulipas,1,Northern America,http://bit.ly/2MrDr5r,Northern America,26.103672229764,-98.287409076176
52482,US-Mexico Border,6,Oct,2019,1,6,1,14,1,1,1,Drowning,"Río Bravo, near Matamoros, Tamaulipas, Mexico","Vox Pópuli, Minuto Uno Tamaulipas",3,Central America,"http://bit.ly/30QheDy, http://bit.ly/2Oypbe9",Central America,25.900890221875,-97.525930965196
52487,US-Mexico Border,5,Oct,2019,1,6,1,4,1,1,1,Dehydration,"Ranch near Carrizo Springs, Dimmit County, Texas, USA","US Border Patrol, El Sol del Bajío, Periódico Correo",5,Northern Africa,"http://bit.ly/2BcGyJy, http://bit.ly/2MsQDHw, http://bit.ly/3108o5Z",Northern Africa,28.470756944660,-99.924087355632
52480,Mediterranean,4,Oct,2019,1,6,1,65,1,1,1,Unknown,"During medical evacuation to Almería, Spain - after being rescued from a boat in the Alboran Sea, 44 miles south-east of Motril, Granada","Caminando Fronteras, EFE, AFP",4,Western Mediterranean,"http://bit.ly/2LRkv18, http://bit.ly/31SIXVb, http://bit.ly/2Ot2zeH",Uncategorized,36.778630672371,-2.499724435320
52481,US-Mexico Border,4,Oct,2019,1,6,1,14,1,1,1,Drowning,"Río Bravo, near poblado Los Guerra Viejo, Miguel Alemán, Tamaulipas, Mexico",Hoy Tamaulipas,1,Central America,http://bit.ly/2oV1jqi,Central America,26.396783686456,-99.078156497984
52478,Central America,3,Oct,2019,1,6,1,14,1,1,1,Hit by train,"Train tracks near San Juan Evangelista, Veracruz, Mexico","Diario de Xalapa, Al Calor Político",3,Central America,"http://bit.ly/31TXXT5, http://bit.ly/2pUKrk1",Central America,17.887207400000,-95.138674200000
52479,US-Mexico Border,3,Oct,2019,1,6,1,14,1,1,1,Drowning,"Río Bravo, near Ejido Adolfo López Mateos (KM213 of Carretera Ribereña, Nuevo Laredo, Tamaulipas, Mexico","Hoy Tamaulipas, El Diario de Ciudad Victoria",3,Central America,"http://bit.ly/30WgBIu, http://bit.ly/2LTjS79",Central America,27.435807331497,-99.495251713848
52485,North Africa,3,Oct,2019,1,6,1,14,1,1,1,Unknown,"Body recovered near Bouyafar, Morocco",Association Marocaine des Droits Humains - Section Nador,4,Northern Africa,http://bit.ly/2OyEMu4,Northern Africa,35.229522200000,-3.127785400000
52486,Sub-Saharan Africa,3,Oct,2019,1,6,1,14,1,1,1,Unknown,"Zouerate, Tiris Zemmour region, Mauritania","Criden, Rewmi",3,Western Africa,"http://bit.ly/33gwxqC, http://bit.ly/33mFmPU",Western Africa,22.772552299960,-12.504464880242
52477,US-Mexico Border,2,Oct,2019,1,6,1,14,1,1,1,Dehydration,"Near Los Galván Ranch, between Texas State Highway 83 and 44, Webb County, Texas, USA","Laredo Daily, Familias Unidas en Busca de una Esperanza",3,Northern America,"http://bit.ly/2Iuy30m, http://bit.ly/31Rxvte",Northern America,28.025147800000,-99.548918700000
52468,Europe,1,Oct,2019,2,6,2,14,1,2,1,Drowning,"Lake Sot, near Šid, Voivodina, Serbia - near border with Croatia","IOM Serbia, Telegraf",4,Western Balkans,http://bit.ly/2mYdFNG,Southern Europe,45.158752305501,19.339737369364
52467,North Africa,30,9,2019,1,6,1,14,1,1,1,Plane stowaway,"Mohammed V Airport in Casablanca, Morocco - inside the landing gear of a Royal Air Morocco aircraft coming from Conakry, Guinea","Le 360, 20minutes",3,Northern Africa,"http://bit.ly/2nNGkp2, http://bit.ly/2nF3LB0",Northern Africa,33.369970400000,-7.585723100000
52466,US-Mexico Border,29,9,2019,1,6,1,14,1,1,1,Drowning,"Río Bravo, near Leehman ranch, Eagle Pass, Maverick County, Texas, USA","Zócalo, SuperChannel12",3,Northern America,"http://bit.ly/2pog4lF, http://bit.ly/2oBk3L1",Northern America,28.738417958720,-100.507007749200
52461,Mediterranean,28,9,2019,1,6,1,20,1,1,1,Drowning,"Off the coast of Krichtel, wilaya of Oran, Algeria","ObservAlgérie, ALG24",3,Western Mediterranean,"http://bit.ly/2oxNHRq, http://bit.ly/2mmp9dy",Uncategorized,35.980436749635,-0.492110075391
52462,Mediterranean,28,9,2019,18,35,53,3,1,6,1,Drowning,"Off the coast of Mohammédia, Morocco","Caminando Fronteras, APDHA, Association Marocaine des Droits Humains - Section Nador",4,Western Mediterranean,"http://bit.ly/2n7pdy1, http://bit.ly/2mhRwcH, http://bit.ly/2ovqsHF, http://bit.ly/2nRm8CL, http://bit.ly/2mYFYLY, http://bit.ly/2nDSSzq, http://bit.ly/2OqTFyl, http://bit.ly/31TNNlj, http://bit.ly/2LR6YXl",Uncategorized,33.650995541550,-7.494747852482
52465,US-Mexico Border,28,9,2019,1,6,1,14,1,1,1,Drowning,"Río Bravo, near Las Piedras, Reynosa, Tamaulipas, Mexico",Hoy Tamaulipas,1,Central America,http://bit.ly/2nD4X7X,Central America,26.076436013840,-98.232415824346
52459,Mediterranean,27,9,2019,7,6,7,12,2,1,5,Drowning,"Off the coast of Oinousses, Greece",IOM Greece,4,Eastern Mediterranean,,Uncategorized,38.519212404679,26.320742344141
52460,Mediterranean,27,9,2019,1,6,1,5,1,1,1,Drowning,"37 nautical miles north of Ténès, wilaya of Chlef, Algeria",TSA Algérie,1,Western Mediterranean,http://bit.ly/2oCdyI3,Uncategorized,36.574984368876,1.298778125781
52464,US-Mexico Border,27,9,2019,1,6,1,14,1,1,1,Drowning,"Río Bravo, Rancho El Porvenir, near Nuevo Laredo, Tamaulipas, Mexico","La Tarde, La Vanguardia",3,Central America,"http://bit.ly/2plKQeW, http://bit.ly/2nD3lep",Central America,27.263884114760,-99.455439943894
52458,Mediterranean,26,9,2019,1,7,7,3,1,7,1,Drowning,"20 miles off the coast of Alicante, Spain",Diario Información,3,Western Mediterranean,http://bit.ly/2m2KvMZ,Uncategorized,38.245239670844,-0.299798048828
52456,Mediterranean,25,9,2019,1,1,2,6,1,1,1,Drowning,"22 nautical miles north of Damous, wilaya of Tipaza, Algeria","TSA Algérie, Xinhua",3,Western Mediterranean,"http://bit.ly/2mUNHtS, http://bit.ly/2lkK5kH",Uncategorized,36.735605101366,1.667305168400
52463,Mediterranean,25,9,2019,1,6,1,14,1,1,1,Drowning,"Body washed ashore near Tripoli, Libya",UNHCR via The Libya Observer,1,Central Mediterranean,https://twitter.com/Lyobserver/status/1176801039774887936,Uncategorized,32.910341135368,13.241253602079
52475,US-Mexico Border,25,9,2019,1,6,1,14,1,1,1,Skeletal remains,"Ranch located east of Falfurrias, Brooks County, Texas, USA",Brooks County Sheriff's Office via Breitbart News,1,Northern America,http://bit.ly/31V1r7M,Northern America,27.120335346567,-98.090651851496
52476,US-Mexico Border,25,9,2019,1,6,1,14,1,1,1,Skeletal remains,"Ranch located north of USBP checkpoint on US Highway 281 near Falfurrias, Brooks County, Texas, USA",Brooks County Sheriff's Office via Breitbart News,1,Northern America,http://bit.ly/31V1r7M,Northern America,27.159316849220,-98.202154891570
52455,Middle East,24,9,2019,6,6,6,27,1,1,1,Vehicle Accident,"Reyhanlı-Antakya highway, near Reyhanlı, Hatay, Turkey","Hürriyet, CNN Türk",3,Western Asia,"http://bit.ly/2mQY2Ht, http://bit.ly/2mlB37b",Western Asia,36.241342360494,36.574383137850
