Reported Year,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,0,1,34,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,18,8,26,73,1,26,1
2014,170,81,251,19,1,1,1
2014,4,5,9,14,1,4,1
2014,24,6,24,364,1,1,1
2014,1,0,1,19,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,42,6,42,14,8,1,5
2014,1,23,23,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,100,100,14,1,1,1
2014,50,6,50,14,1,1,1
2014,64,6,64,14,1,1,1
2014,11,6,17,15,1,1,1
2014,10,33,43,55,1,1,1
2014,70,94,164,36,1,1,1
2014,1,0,1,0,1,1,1
2014,1,0,1,0,1,1,1
2014,1,6,1,14,1,1,1
2014,1,0,1,0,1,1,1
2014,2,170,172,200,1,1,1
2014,1,6,1,14,1,1,1
2014,12,188,200,0,1,1,2
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,4,21,25,13,1,2,1
2014,12,6,12,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,109,110,12,1,1,1
2014,2,18,20,60,1,1,1
2014,3,0,3,90,1,1,1
2014,1,41,41,61,1,1,1
2014,1,6,1,14,1,1,1
2014,3,0,3,104,1,1,1
2014,29,6,29,569,1,1,1
2014,1,151,151,14,1,1,1
2014,2,53,55,1,1,1,1
2014,5,14,19,61,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,20,108,128,22,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,9,9,1,1,1,1
2014,1,0,1,0,1,1,1
2014,1,0,1,0,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,27,11,38,6,4,1,11
2014,1,4,4,5,1,1,1
2014,1,30,30,14,1,1,1
2014,2,6,2,14,1,1,1
2014,1,6,6,14,1,1,1
2014,1,12,12,14,1,1,1
2014,4,6,4,14,1,4,1
2014,41,6,41,14,4,12,1
2014,1,6,1,14,1,1,1
2014,4,6,4,14,1,1,1
2014,9,6,9,21,1,1,3
2014,1,30,30,14,1,1,1
2014,5,6,5,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,23,23,28,1,1,1
2014,17,6,17,75,1,15,1
2014,1,750,750,14,1,1,250
2014,1,6,1,14,1,1,1
2014,1,9,9,2,1,1,1
2014,1,2,2,14,1,1,1
2014,21,3,24,14,1,1,1
2014,1,1,1,14,1,1,1
2014,1,2,2,3,1,1,1
2014,1,0,1,0,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,2,6,2,17,1,1,1
2014,1,0,1,0,1,1,1
2014,1,0,1,0,1,1,1
2014,1,6,1,14,1,1,1
2014,1,0,1,0,1,1,1
2014,1,0,1,0,1,1,1
2014,1,6,1,14,1,1,1
2014,3,497,500,10,1,1,1
2014,2,16,18,12,1,1,1
2014,2,6,2,14,1,2,1
2014,1,6,1,14,1,1,1
2014,15,73,88,72,1,1,1
