
Year,"Country / territory of asylum/residence",Origin,"Population type",Value
2016,Aruba,Colombia,Asylum-seekers,1
2016,Aruba,Cuba,"Refugees (incl. refugee-like situations)",1
2016,Aruba,"Venezuela (Bolivarian Republic of)",Asylum-seekers,3
2016,Afghanistan,Afghanistan,"Internally displaced persons",1797551
2016,Afghanistan,Afghanistan,"Others of concern",114221
2016,Afghanistan,"Iran (Islamic Rep. of)",Asylum-seekers,16
2016,Afghanistan,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",33
2016,Afghanistan,Iraq,"Refugees (incl. refugee-like situations)",1
2016,Afghanistan,Kyrgyzstan,Asylum-seekers,1
2016,Afghanistan,Pakistan,Asylum-seekers,99
2016,Afghanistan,Pakistan,"Refugees (incl. refugee-like situations)",59737
2016,Afghanistan,Tajikistan,Asylum-seekers,10
2016,Afghanistan,Uzbekistan,Asylum-seekers,2
2016,Angola,Afghanistan,Asylum-seekers,1
2016,Angola,Burundi,Asylum-seekers,94
2016,Angola,Burundi,"Refugees (incl. refugee-like situations)",9
2016,Angola,"Central African Rep.",Asylum-seekers,76
2016,Angola,"Central African Rep.","Refugees (incl. refugee-like situations)",9
2016,Angola,"Côte d'Ivoire",Asylum-seekers,5938
2016,Angola,"Côte d'Ivoire","Refugees (incl. refugee-like situations)",510
2016,Angola,Cameroon,"Refugees (incl. refugee-like situations)",1
2016,Angola,"Dem. Rep. of the Congo",Asylum-seekers,500
2016,Angola,"Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)",12944
2016,Angola,Congo,Asylum-seekers,58
2016,Angola,Congo,"Refugees (incl. refugee-like situations)",4
2016,Angola,Djibouti,Asylum-seekers,1
2016,Angola,Algeria,"Refugees (incl. refugee-like situations)",1
2016,Angola,Eritrea,Asylum-seekers,1767
2016,Angola,Eritrea,"Refugees (incl. refugee-like situations)",34
2016,Angola,"Western Sahara",Asylum-seekers,596
2016,Angola,"Western Sahara","Refugees (incl. refugee-like situations)",18
2016,Angola,Ethiopia,Asylum-seekers,57
2016,Angola,Ethiopia,"Refugees (incl. refugee-like situations)",1
2016,Angola,Guinea,Asylum-seekers,9145
2016,Angola,Guinea,"Refugees (incl. refugee-like situations)",107
2016,Angola,Gambia,Asylum-seekers,1
2016,Angola,Guinea-Bissau,Asylum-seekers,268
2016,Angola,Guinea-Bissau,"Refugees (incl. refugee-like situations)",1
2016,Angola,Haiti,Asylum-seekers,1
2016,Angola,Haiti,"Refugees (incl. refugee-like situations)",1
2016,Angola,Iraq,Asylum-seekers,1
2016,Angola,Liberia,Asylum-seekers,478
2016,Angola,Liberia,"Refugees (incl. refugee-like situations)",155
2016,Angola,Libya,"Refugees (incl. refugee-like situations)",1
2016,Angola,Mali,Asylum-seekers,1
2016,Angola,Mali,"Refugees (incl. refugee-like situations)",2
2016,Angola,Mauritania,Asylum-seekers,5403
2016,Angola,Mauritania,"Refugees (incl. refugee-like situations)",306
2016,Angola,Mauritius,Asylum-seekers,1
2016,Angola,Nigeria,Asylum-seekers,1
2016,Angola,"Dem. People's Rep. of Korea",Asylum-seekers,1
2016,Angola,Rwanda,Asylum-seekers,67
2016,Angola,Rwanda,"Refugees (incl. refugee-like situations)",273
2016,Angola,Rwanda,"Returned refugees",10
2016,Angola,Sudan,Asylum-seekers,1670
2016,Angola,Sudan,"Refugees (incl. refugee-like situations)",313
2016,Angola,Senegal,Asylum-seekers,1
2016,Angola,"Sierra Leone",Asylum-seekers,1497
2016,Angola,"Sierra Leone","Refugees (incl. refugee-like situations)",374
2016,Angola,Somalia,Asylum-seekers,1731
2016,Angola,Somalia,"Refugees (incl. refugee-like situations)",288
2016,Angola,Chad,Asylum-seekers,780
2016,Angola,Chad,"Refugees (incl. refugee-like situations)",184
2016,Angola,Togo,"Refugees (incl. refugee-like situations)",1
2016,Angola,"United Rep. of Tanzania","Refugees (incl. refugee-like situations)",4
2016,Angola,Uganda,Asylum-seekers,6
2016,Angola,Uganda,"Refugees (incl. refugee-like situations)",6
2016,Angola,"South Africa","Refugees (incl. refugee-like situations)",1
2016,Angola,Zambia,Asylum-seekers,1
2016,Angola,Zambia,"Refugees (incl. refugee-like situations)",7
2016,Angola,Zimbabwe,Asylum-seekers,1
2016,Anguilla,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",1
2016,Albania,China,"Refugees (incl. refugee-like situations)",11
2016,Albania,"Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)",3
2016,Albania,Egypt,"Refugees (incl. refugee-like situations)",3
2016,Albania,"Iran (Islamic Rep. of)",Asylum-seekers,2745
2016,Albania,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",17
2016,Albania,Iraq,"Refugees (incl. refugee-like situations)",23
2016,Albania,"The former Yugoslav Republic of Macedonia","Refugees (incl. refugee-like situations)",1
2016,Albania,Montenegro,"Refugees (incl. refugee-like situations)",2
2016,Albania,Peru,"Refugees (incl. refugee-like situations)",1
2016,Albania,Palestinian,"Refugees (incl. refugee-like situations)",4
2016,Albania,"Russian Federation","Refugees (incl. refugee-like situations)",1
2016,Albania,"Serbia and Kosovo (S/RES/1244 (1999))",Asylum-seekers,5
2016,Albania,"Serbia and Kosovo (S/RES/1244 (1999))","Refugees (incl. refugee-like situations)",60
2016,Albania,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",3
2016,Albania,Turkey,Asylum-seekers,1
2016,Albania,Turkey,"Refugees (incl. refugee-like situations)",4
2016,Albania,Ukraine,Asylum-seekers,1
2016,Albania,Ukraine,"Refugees (incl. refugee-like situations)",1
2016,Albania,Uzbekistan,"Refugees (incl. refugee-like situations)",4
2016,Albania,Stateless,"Stateless persons",4921
2016,"United Arab Emirates",Afghanistan,Asylum-seekers,18
2016,"United Arab Emirates",Eritrea,Asylum-seekers,1
2016,"United Arab Emirates",Ethiopia,Asylum-seekers,1
2016,"United Arab Emirates",Ethiopia,"Refugees (incl. refugee-like situations)",6
2016,"United Arab Emirates","Iran (Islamic Rep. of)",Asylum-seekers,2
2016,"United Arab Emirates","Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",2
2016,"United Arab Emirates",Iraq,Asylum-seekers,354
2016,"United Arab Emirates",Iraq,"Refugees (incl. refugee-like situations)",741
2016,"United Arab Emirates","Sri Lanka","Refugees (incl. refugee-like situations)",1
2016,"United Arab Emirates",Pakistan,Asylum-seekers,2
2016,"United Arab Emirates",Pakistan,"Refugees (incl. refugee-like situations)",1
2016,"United Arab Emirates",Palestinian,Asylum-seekers,50
2016,"United Arab Emirates",Palestinian,"Refugees (incl. refugee-like situations)",1
2016,"United Arab Emirates",Rwanda,Asylum-seekers,1
2016,"United Arab Emirates","Saudi Arabia",Asylum-seekers,3
2016,"United Arab Emirates",Sudan,Asylum-seekers,13
2016,"United Arab Emirates",Sudan,"Refugees (incl. refugee-like situations)",5
2016,"United Arab Emirates",Somalia,"Refugees (incl. refugee-like situations)",17
2016,"United Arab Emirates","Syrian Arab Rep.",Asylum-seekers,165
2016,"United Arab Emirates","Syrian Arab Rep.","Refugees (incl. refugee-like situations)",119
2016,"United Arab Emirates",Stateless,"Refugees (incl. refugee-like situations)",2
2016,"United Arab Emirates",Yemen,Asylum-seekers,2
2016,Argentina,Afghanistan,Asylum-seekers,2
2016,Argentina,Afghanistan,"Refugees (incl. refugee-like situations)",5
2016,Argentina,Angola,Asylum-seekers,4
2016,Argentina,Angola,"Refugees (incl. refugee-like situations)",14
2016,Argentina,Albania,"Refugees (incl. refugee-like situations)",18
2016,Argentina,Armenia,Asylum-seekers,105
2016,Argentina,Armenia,"Refugees (incl. refugee-like situations)",79
2016,Argentina,Burundi,Asylum-seekers,1
2016,Argentina,Burundi,"Refugees (incl. refugee-like situations)",3
2016,Argentina,Benin,"Refugees (incl. refugee-like situations)",1
2016,Argentina,"Burkina Faso",Asylum-seekers,1
2016,Argentina,Bangladesh,Asylum-seekers,73
2016,Argentina,Bangladesh,"Refugees (incl. refugee-like situations)",5
2016,Argentina,Bulgaria,Asylum-seekers,1
2016,Argentina,Bulgaria,"Refugees (incl. refugee-like situations)",2
2016,Argentina,"Bosnia and Herzegovina","Refugees (incl. refugee-like situations)",6
2016,Argentina,Belarus,"Refugees (incl. refugee-like situations)",1
2016,Argentina,"Bolivia (Plurinational State of)","Refugees (incl. refugee-like situations)",3
2016,Argentina,Brazil,Asylum-seekers,6
2016,Argentina,Brazil,"Refugees (incl. refugee-like situations)",1
2016,Argentina,"Central African Rep.",Asylum-seekers,1
2016,Argentina,"Central African Rep.","Refugees (incl. refugee-like situations)",2
2016,Argentina,Switzerland,Asylum-seekers,1
2016,Argentina,Chile,Asylum-seekers,6
2016,Argentina,Chile,"Refugees (incl. refugee-like situations)",35
2016,Argentina,China,Asylum-seekers,35
2016,Argentina,China,"Refugees (incl. refugee-like situations)",2
2016,Argentina,"Côte d'Ivoire",Asylum-seekers,5
2016,Argentina,"Côte d'Ivoire","Refugees (incl. refugee-like situations)",20
2016,Argentina,Cameroon,Asylum-seekers,31
2016,Argentina,Cameroon,"Refugees (incl. refugee-like situations)",6
2016,Argentina,"Dem. Rep. of the Congo",Asylum-seekers,21
2016,Argentina,"Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)",23
2016,Argentina,Congo,Asylum-seekers,1
2016,Argentina,Congo,"Refugees (incl. refugee-like situations)",2
2016,Argentina,Colombia,Asylum-seekers,186
2016,Argentina,Colombia,"Refugees (incl. refugee-like situations)",542
2016,Argentina,"Cabo Verde",Asylum-seekers,1
2016,Argentina,"Costa Rica",Asylum-seekers,1
2016,Argentina,"Costa Rica","Refugees (incl. refugee-like situations)",5
2016,Argentina,Cuba,Asylum-seekers,510
2016,Argentina,Cuba,"Refugees (incl. refugee-like situations)",257
2016,Argentina,"Czech Rep.",Asylum-seekers,3
2016,Argentina,Germany,Asylum-seekers,3
2016,Argentina,Dominica,Asylum-seekers,87
2016,Argentina,"Dominican Rep.",Asylum-seekers,80
2016,Argentina,"Dominican Rep.","Refugees (incl. refugee-like situations)",1
2016,Argentina,Algeria,Asylum-seekers,1
2016,Argentina,Algeria,"Refugees (incl. refugee-like situations)",31
2016,Argentina,Ecuador,Asylum-seekers,3
2016,Argentina,Ecuador,"Refugees (incl. refugee-like situations)",17
2016,Argentina,Egypt,Asylum-seekers,3
2016,Argentina,Egypt,"Refugees (incl. refugee-like situations)",4
2016,Argentina,Eritrea,Asylum-seekers,2
2016,Argentina,Eritrea,"Refugees (incl. refugee-like situations)",2
2016,Argentina,Spain,Asylum-seekers,6
2016,Argentina,Ethiopia,"Refugees (incl. refugee-like situations)",3
2016,Argentina,Georgia,Asylum-seekers,1
2016,Argentina,Georgia,"Refugees (incl. refugee-like situations)",3
2016,Argentina,Ghana,Asylum-seekers,110
2016,Argentina,Ghana,"Refugees (incl. refugee-like situations)",39
2016,Argentina,Guinea,Asylum-seekers,13
2016,Argentina,Guinea,"Refugees (incl. refugee-like situations)",9
2016,Argentina,Gambia,Asylum-seekers,4
2016,Argentina,Gambia,"Refugees (incl. refugee-like situations)",1
2016,Argentina,Guinea-Bissau,Asylum-seekers,4
2016,Argentina,Guinea-Bissau,"Refugees (incl. refugee-like situations)",8
2016,Argentina,"Equatorial Guinea",Asylum-seekers,1
2016,Argentina,Greece,Asylum-seekers,2
2016,Argentina,Guatemala,"Refugees (incl. refugee-like situations)",1
2016,Argentina,Guyana,Asylum-seekers,3
2016,Argentina,Honduras,Asylum-seekers,2
2016,Argentina,Honduras,"Refugees (incl. refugee-like situations)",4
2016,Argentina,Croatia,"Refugees (incl. refugee-like situations)",1
2016,Argentina,Haiti,Asylum-seekers,413
2016,Argentina,Haiti,"Refugees (incl. refugee-like situations)",67
2016,Argentina,Hungary,Asylum-seekers,9
2016,Argentina,Hungary,"Refugees (incl. refugee-like situations)",1
2016,Argentina,India,Asylum-seekers,119
2016,Argentina,India,"Refugees (incl. refugee-like situations)",22
2016,Argentina,"Iran (Islamic Rep. of)",Asylum-seekers,1
2016,Argentina,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",23
2016,Argentina,Iraq,Asylum-seekers,6
2016,Argentina,Iraq,"Refugees (incl. refugee-like situations)",22
2016,Argentina,Israel,Asylum-seekers,2
2016,Argentina,Italy,Asylum-seekers,1
2016,Argentina,Italy,"Refugees (incl. refugee-like situations)",1
2016,Argentina,Jamaica,Asylum-seekers,1
2016,Argentina,Jordan,"Refugees (incl. refugee-like situations)",1
2016,Argentina,Kazakhstan,Asylum-seekers,3
2016,Argentina,Kazakhstan,"Refugees (incl. refugee-like situations)",18
2016,Argentina,Kyrgyzstan,"Refugees (incl. refugee-like situations)",3
2016,Argentina,Lebanon,Asylum-seekers,1
2016,Argentina,Lebanon,"Refugees (incl. refugee-like situations)",1
2016,Argentina,Liberia,Asylum-seekers,2
2016,Argentina,Liberia,"Refugees (incl. refugee-like situations)",45
2016,Argentina,Libya,Asylum-seekers,2
2016,Argentina,"Sri Lanka","Refugees (incl. refugee-like situations)",37
2016,Argentina,Morocco,Asylum-seekers,8
2016,Argentina,Morocco,"Refugees (incl. refugee-like situations)",2
2016,Argentina,Mexico,Asylum-seekers,2
2016,Argentina,Mexico,"Refugees (incl. refugee-like situations)",1
2016,Argentina,"The former Yugoslav Republic of Macedonia",Asylum-seekers,1
2016,Argentina,"The former Yugoslav Republic of Macedonia","Refugees (incl. refugee-like situations)",9
2016,Argentina,Mali,Asylum-seekers,1
2016,Argentina,Mali,"Refugees (incl. refugee-like situations)",10
2016,Argentina,Mauritania,Asylum-seekers,2
2016,Argentina,Mauritania,"Refugees (incl. refugee-like situations)",1
2016,Argentina,Malaysia,Asylum-seekers,1
2016,Argentina,Nigeria,Asylum-seekers,85
2016,Argentina,Nigeria,"Refugees (incl. refugee-like situations)",41
2016,Argentina,Nicaragua,"Refugees (incl. refugee-like situations)",2
2016,Argentina,Nepal,Asylum-seekers,4
2016,Argentina,Pakistan,Asylum-seekers,21
2016,Argentina,Pakistan,"Refugees (incl. refugee-like situations)",31
2016,Argentina,Peru,Asylum-seekers,63
2016,Argentina,Peru,"Refugees (incl. refugee-like situations)",547
2016,Argentina,Philippines,Asylum-seekers,4
2016,Argentina,Philippines,"Refugees (incl. refugee-like situations)",2
2016,Argentina,Portugal,Asylum-seekers,1
2016,Argentina,Paraguay,Asylum-seekers,11
2016,Argentina,Paraguay,"Refugees (incl. refugee-like situations)",8
2016,Argentina,Palestinian,Asylum-seekers,7
2016,Argentina,Palestinian,"Refugees (incl. refugee-like situations)",6
2016,Argentina,Romania,Asylum-seekers,81
2016,Argentina,Romania,"Refugees (incl. refugee-like situations)",51
2016,Argentina,"Russian Federation",Asylum-seekers,53
2016,Argentina,"Russian Federation","Refugees (incl. refugee-like situations)",65
2016,Argentina,Rwanda,"Refugees (incl. refugee-like situations)",1
2016,Argentina,Sudan,Asylum-seekers,1
2016,Argentina,Sudan,"Refugees (incl. refugee-like situations)",3
2016,Argentina,Senegal,Asylum-seekers,1391
2016,Argentina,Senegal,"Refugees (incl. refugee-like situations)",43
2016,Argentina,Singapore,Asylum-seekers,1
2016,Argentina,"Sierra Leone",Asylum-seekers,7
2016,Argentina,"Sierra Leone","Refugees (incl. refugee-like situations)",37
2016,Argentina,"El Salvador",Asylum-seekers,17
2016,Argentina,"El Salvador","Refugees (incl. refugee-like situations)",18
2016,Argentina,Somalia,Asylum-seekers,1
2016,Argentina,Somalia,"Refugees (incl. refugee-like situations)",5
2016,Argentina,"Serbia and Kosovo (S/RES/1244 (1999))",Asylum-seekers,2
2016,Argentina,"Serbia and Kosovo (S/RES/1244 (1999))","Refugees (incl. refugee-like situations)",1
2016,Argentina,Slovakia,Asylum-seekers,1
2016,Argentina,"Syrian Arab Rep.",Asylum-seekers,53
2016,Argentina,"Syrian Arab Rep.","Others of concern",181
2016,Argentina,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",357
2016,Argentina,Chad,"Refugees (incl. refugee-like situations)",1
2016,Argentina,Togo,Asylum-seekers,1
2016,Argentina,Togo,"Refugees (incl. refugee-like situations)",2
2016,Argentina,Thailand,Asylum-seekers,1
2016,Argentina,Turkmenistan,"Refugees (incl. refugee-like situations)",2
2016,Argentina,Tunisia,Asylum-seekers,1
2016,Argentina,Tunisia,"Refugees (incl. refugee-like situations)",1
2016,Argentina,Turkey,Asylum-seekers,13
2016,Argentina,Turkey,"Refugees (incl. refugee-like situations)",11
2016,Argentina,"United Rep. of Tanzania",Asylum-seekers,1
2016,Argentina,Ukraine,Asylum-seekers,184
2016,Argentina,Ukraine,"Refugees (incl. refugee-like situations)",83
2016,Argentina,Uruguay,Asylum-seekers,4
2016,Argentina,"United States of America",Asylum-seekers,8
2016,Argentina,"United States of America","Refugees (incl. refugee-like situations)",4
2016,Argentina,"Venezuela (Bolivarian Republic of)",Asylum-seekers,58
2016,Argentina,"Venezuela (Bolivarian Republic of)","Refugees (incl. refugee-like situations)",1
2016,Argentina,"Viet Nam",Asylum-seekers,2
2016,Argentina,Stateless,Asylum-seekers,10
2016,Argentina,Stateless,"Refugees (incl. refugee-like situations)",6
2016,Argentina,Various/Unknown,"Refugees (incl. refugee-like situations)",526
2016,Argentina,Yemen,"Refugees (incl. refugee-like situations)",15
2016,Argentina,"South Africa",Asylum-seekers,8
2016,Argentina,"South Africa","Refugees (incl. refugee-like situations)",1
2016,Argentina,Zambia,Asylum-seekers,1
2016,Argentina,Zimbabwe,"Refugees (incl. refugee-like situations)",2
2016,Armenia,Afghanistan,Asylum-seekers,2
2016,Armenia,Azerbaijan,"Refugees (incl. refugee-like situations)",2046
2016,Armenia,"Côte d'Ivoire","Refugees (incl. refugee-like situations)",6
2016,Armenia,Cameroon,Asylum-seekers,1
2016,Armenia,Cameroon,"Refugees (incl. refugee-like situations)",1
2016,Armenia,Congo,"Refugees (incl. refugee-like situations)",2
2016,Armenia,Cuba,Asylum-seekers,6
2016,Armenia,Georgia,"Refugees (incl. refugee-like situations)",8
2016,Armenia,Guinea,Asylum-seekers,2
2016,Armenia,"Iran (Islamic Rep. of)",Asylum-seekers,19
2016,Armenia,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",32
2016,Armenia,Iraq,Asylum-seekers,23
2016,Armenia,Iraq,"Refugees (incl. refugee-like situations)",1017
2016,Armenia,Jordan,Asylum-seekers,1
2016,Armenia,Kazakhstan,"Refugees (incl. refugee-like situations)",1
2016,Armenia,Lebanon,Asylum-seekers,1
2016,Armenia,Lebanon,"Refugees (incl. refugee-like situations)",19
2016,Armenia,Nigeria,"Refugees (incl. refugee-like situations)",1
2016,Armenia,Palestinian,"Refugees (incl. refugee-like situations)",6
2016,Armenia,"Russian Federation","Refugees (incl. refugee-like situations)",1
2016,Armenia,Sudan,"Refugees (incl. refugee-like situations)",1
2016,Armenia,"Syrian Arab Rep.",Asylum-seekers,20
2016,Armenia,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",14626
2016,Armenia,Turkey,Asylum-seekers,2
2016,Armenia,Turkey,"Refugees (incl. refugee-like situations)",3
