Reported case,Reported day,Reported Month,Reported Year,Region of Incident,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Source Quality,Migration Route,UNSD Geographical Grouping,Latitude,Length
2019-10-14,14,10,2019,1,2,6,2,33,1,1,2,Drowning,"Off the coast of Altınova, Ayvalık, Balıkesir province, Turkey","IOM Turkey, Turkish Coast Guard",5,Eastern Mediterranea,Uncategorized,39.207629332807,26.683134343416
2019-10-14,14,10,2019,10,2,6,2,14,1,2,1,Drowning,"Bodies recovered on Le Touquet, Pas-de-Calais, France","Franceinfo, Le Monde",3,Western Europe,Western Europe,50.52441978382,1.556037455696
2019-12-10,12,10,2019,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near La Playita, Reynosa, Tamaulipas, Mexico","El Mañana, Milenio",3,Central America,Central America,26.144549816768,-98.332108082516
2019-11-10,11,10,2019,7,3,6,3,8,1,3,1,Drowning,"Off the coast of Tonalá, between Puerto Arista and Paredón, Chiapas, Mexico (Pacific Sea)","Instituto Nacional de Migración, El Universal, Al Jazeera, Debate",5,Central America,Central America,15.880321192613001,-93.833002001726
2019-09-10,9,10,2019,10,3,6,3,12,1,1,1,Vehicle Accide,"Road near Areti, 40km northeast of Thessaloniki, Greece","IOM Greece, Ekathimerini",4,Southern Europe,Southern Europe,40.740769378941,23.256371964802998
2019-09-10,9,10,2019,2,1,6,1,14,1,1,1,Hit by truck,"Road near Béni Ensar, Nador, Morocco, near border with Melilla",Association Marocaine des Droits Humains - Section Nador,4,Northern Africa,Northern Africa,35.262748226875,-2.937650888372
2019-08-10,8,10,2019,7,1,6,1,14,1,1,1,Hit by trai,"Train tracks near Calle Azteca Sur and Bulevar del Río Españita, San Luis de Potosí, Mexico",Pulso Diario de San Luis,1,Central America,Central America,22.142526392848,-100.96229571392
2019-07-10,7,10,2019,1,13,15,28,22,13,1,4,Drowning,Off the coast of Lampedusa - boat departed from Tunisia,IOM Italy,4,Central Mediterranea,Uncategorized,35.210549549164,12.180541076066001
2019-07-10,7,10,2019,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near colonia Carmen Serdán, Reynosa, Tamaulipas, Mexico",Hoy Tamaulipas,1,Northern America,Northern America,26.103672229763998,-98.28740907617599
2019-06-10,6,10,2019,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near Matamoros, Tamaulipas, Mexico","Vox Pópuli, Minuto Uno Tamaulipas",3,Central America,Central America,25.900890221875,-97.525930965196
2019-05-10,5,10,2019,3,1,6,1,4,1,1,1,Dehydratio,"Ranch near Carrizo Springs, Dimmit County, Texas, USA","US Border Patrol, El Sol del Bajío, Periódico Correo",5,Northern Africa,Northern Africa,28.47075694466,-99.924087355632
2019-04-10,4,10,2019,1,1,6,1,65,1,1,1,Unknown,"During medical evacuation to Almería, Spain - after being rescued from a boat in the Alboran Sea, 44 miles south-east of Motril, Granada","Caminando Fronteras, EFE, AFP",4,Western Mediterranea,Uncategorized,36.778630672371,-2.49972443532
2019-04-10,4,10,2019,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near poblado Los Guerra Viejo, Miguel Alemán, Tamaulipas, Mexico",Hoy Tamaulipas,1,Central America,Central America,26.396783686455997,-99.07815649798401
2019-03-10,3,10,2019,7,1,6,1,14,1,1,1,Hit by trai,"Train tracks near San Juan Evangelista, Veracruz, Mexico","Diario de Xalapa, Al Calor Político",3,Central America,Central America,17.8872074,-95.1386742
2019-03-10,3,10,2019,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near Ejido Adolfo López Mateos (KM213 of Carretera Ribereña, Nuevo Laredo, Tamaulipas, Mexico","Hoy Tamaulipas, El Diario de Ciudad Victoria",3,Central America,Central America,27.435807331497003,-99.495251713848
2019-03-10,3,10,2019,2,1,6,1,14,1,1,1,Unknown,"Body recovered near Bouyafar, Morocco",Association Marocaine des Droits Humains - Section Nador,4,Northern Africa,Northern Africa,35.2295222,-3.1277854
2019-03-10,3,10,2019,5,1,6,1,14,1,1,1,Unknown,"Zouerate, Tiris Zemmour region, Mauritania","Criden, Rewmi",3,Western Africa,Western Africa,22.772552299959997,-12.504464880241999
2019-02-10,2,10,2019,3,1,6,1,14,1,1,1,Dehydratio,"Near Los Galván Ranch, between Texas State Highway 83 and 44, Webb County, Texas, USA","Laredo Daily, Familias Unidas en Busca de una Esperanza",3,Northern America,Northern America,28.0251478,-99.5489187
2019-01-10,1,10,2019,10,2,6,2,14,1,2,1,Drowning,"Lake Sot, near Šid, Voivodina, Serbia - near border with Croatia","IOM Serbia, Telegraf",4,Western Balkans,Southern Europe,45.158752305501004,19.339737369364
2019-09-30,30,9,2019,2,1,6,1,14,1,1,1,Plane stowaway,"Mohammed V Airport in Casablanca, Morocco - inside the landing gear of a Royal Air Morocco aircraft coming from Conakry, Guinea","Le 360, 20minutes",3,Northern Africa,Northern Africa,33.3699704,-7.5857231
2019-09-29,29,9,2019,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near Leehman ranch, Eagle Pass, Maverick County, Texas, USA","Zócalo, SuperChannel12",3,Northern America,Northern America,28.738417958720003,-100.5070077492
2019-09-28,28,9,2019,1,1,6,1,20,1,1,1,Drowning,"Off the coast of Krichtel, wilaya of Oran, Algeria","ObservAlgérie, ALG24",3,Western Mediterranea,Uncategorized,35.980436749635,-0.492110075391
2019-09-28,28,9,2019,1,18,35,53,3,1,6,1,Drowning,"Off the coast of Mohammédia, Morocco","Caminando Fronteras, APDHA, Association Marocaine des Droits Humains - Section Nador",4,Western Mediterranea,Uncategorized,33.65099554155,-7.494747852482001
2019-09-28,28,9,2019,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near Las Piedras, Reynosa, Tamaulipas, Mexico",Hoy Tamaulipas,1,Central America,Central America,26.07643601384,-98.232415824346
2019-09-27,27,9,2019,1,7,6,7,12,2,1,5,Drowning,"Off the coast of Oinousses, Greece",IOM Greece,4,Eastern Mediterranea,Uncategorized,38.519212404678996,26.320742344141003
2019-09-27,27,9,2019,1,1,6,1,5,1,1,1,Drowning,"37 nautical miles north of Ténès, wilaya of Chlef, Algeria",TSA Algérie,1,Western Mediterranea,Uncategorized,36.574984368876,1.298778125781
2019-09-27,27,9,2019,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, Rancho El Porvenir, near Nuevo Laredo, Tamaulipas, Mexico","La Tarde, La Vanguardia",3,Central America,Central America,27.26388411476,-99.455439943894
2019-09-26,26,9,2019,1,1,7,7,3,1,7,1,Drowning,"20 miles off the coast of Alicante, Spai",Diario Informació,3,Western Mediterranea,Uncategorized,38.245239670844,-0.29979804882800004
2019-09-25,25,9,2019,1,1,1,2,6,1,1,1,Drowning,"22 nautical miles north of Damous, wilaya of Tipaza, Algeria","TSA Algérie, Xinhua",3,Western Mediterranea,Uncategorized,36.735605101366,1.6673051684
2019-09-25,25,9,2019,1,1,6,1,14,1,1,1,Drowning,"Body washed ashore near Tripoli, Libya",UNHCR via The Libya Observer,1,Central Mediterranea,Uncategorized,32.910341135368,13.241253602079
2019-09-25,25,9,2019,3,1,6,1,14,1,1,1,Skeletal remains,"Ranch located east of Falfurrias, Brooks County, Texas, USA",Brooks County Sheriff's Office via Breitbart News,1,Northern America,Northern America,27.120335346567,-98.09065185149599
2019-09-25,25,9,2019,3,1,6,1,14,1,1,1,Skeletal remains,"Ranch located north of USBP checkpoint on US Highway 281 near Falfurrias, Brooks County, Texas, USA",Brooks County Sheriff's Office via Breitbart News,1,Northern America,Northern America,27.159316849219998,-98.20215489156999
2019-09-24,24,9,2019,9,6,6,6,27,1,1,1,Vehicle Accide,"Reyhanlı-Antakya highway, near Reyhanlı, Hatay, Turkey","Hürriyet, CNN Türk",3,Western Asia,Western Asia,36.241342360493995,36.57438313785
2019-09-24,24,9,2019,1,1,1,1,6,1,1,1,Drowning,"20 miles off the coast of Cartagena, Murcia, Spain - boat departed from Mostaganem, Algeria",La Verdad,3,Western Mediterranea,Uncategorized,37.253252681247,-0.7052111093950001
2019-09-23,23,9,2019,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near Matamoros, Tamaulipas, Mexico",El Diario de Ciudad Victoria,1,Uncategorized,Uncategorized,25.875635516654,-97.473025612357
2019-09-22,22,9,2019,3,2,6,2,14,1,2,1,Hyperthermia,"Near Carrizo Springs, Dimmit County, Texas, USA",Zócalo,1,Northern America,Northern America,28.482962436929,-99.919967482585
2019-09-21,21,9,2019,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near Guardados de Arriba, Miguel Alemán, Tamaulipas, Mexico","El Sol de Tampico, Hoy Tamaulipas",3,Central America,Central America,26.394748604205,-98.955283123743
2019-09-20,20,9,2019,1,1,1,1,14,1,1,1,Drowning,"Off the coast of Bodrum, Muğla province, Turkey","Aegean Boat Report, Turkish Coast Guard",5,Eastern Mediterranea,Uncategorized,36.973557207271,27.403074179688
2019-09-20,20,9,2019,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near Ébanos Sur, Gustavo Díaz Ordaz, Tamaulipas, Mexico","Hoy Tamaulipas, El Mañana",3,Central America,Central America,26.244371396482002,-98.557419014857
2019-09-20,20,9,2019,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near International Bridge 1, Eagle Pass, Texas, USA",La Rancherita del Aire,1,Northern America,Northern America,28.707751107681,-100.51140058844999
2019-09-19,19,9,2019,10,1,6,1,14,1,1,1,Hit by trai,"Train tracks near Gradsko, North Macedonia",AP,1,Western Balkans,Southern Europe,41.579840271918,21.945251077734
2019-09-19,19,9,2019,1,1,6,1,14,1,1,1,Sho,"Abusitta disembarkation point in Tripoli, Libya - hours after being intercepted at sea and returned to shore by the Libyan C",IOM Libya,4,Central Mediterranea,Uncategorized,32.909021015328,13.220013560791
2019-09-18,18,9,2019,1,1,4,4,6,1,1,1,Drowning,"Off the coast of Djerba, Tunisia",IOM Tunisia,4,Central Mediterranea,Uncategorized,34.171158953801,11.255912929033
2019-09-18,18,9,2019,1,9,4,13,5,1,9,1,Drowning,"Off the coast of Cap Djinet, 20 km east of Boumerdès","El Watan, La Dépêche de Kabylie, Caminando Fronteras",4,Western Mediterranea,Uncategorized,36.9837284733,3.638158139063
2019-09-18,18,9,2019,1,1,6,1,1,1,1,1,Drowning,"Off the coast of Melilla, Spai","Público, Uprising Today",3,Western Mediterranea,Uncategorized,35.320439624102995,-2.9483969826169996
2019-09-17,17,9,2019,7,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Near migrant shelter San Francisco, Tehuacán, Puebla, Mexico","Milenio, El Sol de Puebla",3,Central America,Central America,18.509727048315,-97.409583062974
2019-09-17,17,9,2019,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near ejido Centinela, Piedras Negras, Coahuila, Mexico",Contrapunto,1,Central America,Central America,28.727462890595003,-100.50792229493
2019-09-17,17,9,2019,3,1,6,1,14,1,1,1,Drowning,"Canal next to the César Chávez Border Highway by Fonseca Drive, El Paso, El Paso County, Texas, USA","El Paso Times, La Jornada",3,Northern America,Northern America,31.753616299345,-106.41725898466999
2019-09-17,17,9,2019,1,3,6,3,8,1,3,1,Drowning,"Five nautical miles north of Cap Falcon, Oran, Algeria","Ministry of Defence of Algeria, Association Marocaine des Droits Humains - Section Nador",5,Western Mediterranea,Uncategorized,36.042293320857,-0.50907185682
2019-09-17,17,9,2019,1,3,4,7,9,1,1,1,Drowning,"Off the coast of Sfax, Tunisia",IOM Tunisia,4,Central Mediterranea,Uncategorized,34.589760230843,10.937168074215
2019-09-17,17,9,2019,1,1,6,1,14,1,1,1,Drowning,"Body recovered on Plage Bouyafar, near Nador, Morocco (Alboran sea)",Association Marocaine des Droits Humains - Section Nador,4,Western Mediterranea,Uncategorized,35.247147751476,-3.1647307546590002
2019-09-16,16,9,2019,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near Donna-Río Bravo International Bridge, Tamaulipas, Mexico","El Mañana, Vox Pópuli",3,Central America,Central America,26.066558587779003,-98.076219015077
2019-09-14,14,9,2019,8,3,6,3,11,1,1,1,Drowning,"Off the coast of Playa Martinica, Aguadilla, Puerto Rico",US Border Patrol,5,Caribbea,Caribbea,18.513426343887,-67.150985613449
2019-09-14,14,9,2019,3,2,6,2,14,1,2,1,Drowning,"Río Bravo, near Isla del Mudo, Piedras Negras, Coahuila, Mexico","Zócalo, SuperChannel 12",3,Central America,Central America,28.727691607932,-100.50805981854
2019-09-14,14,9,2019,3,1,6,1,14,1,1,1,Skeletal remains,"Ranch near Encino, Brooks County, Texas, USA",Brooks County Sheriff's Office via Breitbart News,1,Northern America,Northern America,26.962501412677003,-98.29321136679701
2019-09-13,13,9,2019,1,1,4,4,1,1,1,1,Presumed drowing,"15 miles off the coast of Marettimo, Sicily, Italy",IOM Italy,4,Central Mediterranea,Uncategorized,37.949458912013995,11.983127132731
2019-09-13,13,9,2019,3,1,6,1,14,1,1,1,Dehydratio,"Ranch southwest of the Falfurrias Border Patrol Checkpoint on U.S. Highway 281, Brooks County, Texas, USA",Brooks County Sheriff's Office via Breitbart News,1,Northern America,Northern America,26.975419020731,-98.236322802092
2019-09-13,13,9,2019,3,1,6,1,14,1,1,1,Unknown,"Ranch near Encino, Brooks County, Texas, USA",Brooks County Sheriff's Office via Breitbart News,1,Northern America,Northern America,26.932000971237997,-98.22622537594499
2019-12-09,12,9,2019,3,1,6,1,14,1,1,1,Mummified remains,"Pima Couny jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.6549405,-112.0884172
2019-12-09,12,9,2019,10,1,6,1,8,1,1,1,Vehicle Accide,"Egnatia highway, near Komotini, Greece","Ekathimerini, Voria, IOM Greece",4,Southern Europe,Southern Europe,41.094866935213,25.406005057255
2019-11-09,11,9,2019,3,2,6,2,35,1,1,1,Drowning,"Río Bravo, near San Felipe Creek, Del Rio, Val Verde County, Texas","CNN, Univisión, Telemundo",3,Northern America,Northern America,29.326039842099,-100.91930745989
2019-09-09,9,9,2019,9,1,6,1,14,1,1,1,Drowning,"Evros/Meriç river, near Yenikadın, Edirne, Turkey","CNN Türk, Hurriye",3,Western Asia,Western Asia,41.686784185244996,26.43776578312
2019-07-09,7,9,2019,10,1,6,1,14,1,1,1,Head injury,"Body recovered in Dora river, near Bardonecchia, Piamonte, Italy","Il Corriere de la Sera, La Reppublica",3,Italy to France,Southern Europe,45.079408592493,6.700213388391
2019-07-09,7,9,2019,2,1,6,1,14,1,1,1,Violence,"Bolingo forest, near Nador, Morocco","Association Marocaine des Droits Humains - Section Nador, Caminando Fronteras",4,Northern Africa,Northern Africa,35.204391764075,-2.9251098632810004
2019-06-09,6,9,2019,3,1,6,1,14,1,1,1,Sickness,"Hospital in San Antonio, Texas after being rescued from the Río Bravo near Eagle Pass, Maverick County, Texas, USA",US Border Patrol,5,Northern America,Northern America,29.4241219,-98.4936282
2019-06-09,6,9,2019,1,1,6,1,13,1,1,1,Sickness and lack of access to medicine,"Samos hospital shortly after being rescued off the coast of Kokkari, Samos, Greece",IOM Greece,4,Eastern Mediterranea,Uncategorized,37.7547857,26.9777701
2019-05-09,5,9,2019,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near poblado Venecia, Reynosa, Tamaulipas, Mexico","Hoy Tamaulipas, El Mañana",3,Central America,Central America,26.095001305916,-98.273011631016
2019-05-09,5,9,2019,1,1,4,4,14,1,4,1,Presumed drowing,"Off the coast of Bouyafar, Morocco (Alboran Sea)","El Faro de Ceuta, EFE, Association Marocaine des Droits Humains - Section Nador",4,Western Mediterranea,Uncategorized,35.837725415025,-3.3560838481559996
2019-04-09,4,9,2019,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near Eagle Pass, Maverick County, Texas, USA",La Rancherita del Aire,1,Northern America,Northern America,28.719389776553,-100.50712416702
2019-03-09,3,9,2019,1,1,15,15,2,1,1,1,Drowning,"40 miles south-east of Cabo de Gata, Almería, Spai","Salvamento Marítimo via eldiario.es, La Voz de Almería, El Wata",3,Western Mediterranea,Uncategorized,36.592468317565,-1.720397814063
2019-03-09,3,9,2019,4,1,6,1,14,1,1,1,Killed by landmine blas,"Myanmar-Bangladesh border, near Gundum border tow","AFP, BDnews24",3,South-eastern Asia,South-eastern Asia,21.191071718689,92.18383339428699
2019-02-09,2,9,2019,7,1,6,1,14,1,1,1,Fall from trai,"Train tracks near Santa Ana Chiautempan, Tlaxcala, Mexico",Puebla Roja,1,Central America,Central America,19.314037774345,-98.190767327239
2019-02-09,2,9,2019,9,1,6,1,14,1,1,1,Drowning,"Irrigation canal in Yenikarpuzlu, İpsala, Edirne, Turkey","EASO Social Media Monitoring Reports, Hurriyet, CNN Türk",3,Western Asia,Western Asia,40.825420088133995,26.292042608479
2019-01-09,1,9,2019,1,1,6,1,14,1,1,1,Cardiac arres,"Port of Ceuta, Spai",El Faro de Ceuta,3,Western Mediterranea,Uncategorized,35.8933505,-5.3209666
2019-01-09,1,9,2019,2,11,6,11,3,1,1,1,Vehicle Accide,"400km north of Bordj Badji Mokhtar, en route to Reggane, Adrar, Algeria","El Watan, Réflexion, ALG24",3,Northern Africa,Northern Africa,24.404460353983,-0.316673172573
2019-01-09,1,9,2019,3,1,6,1,14,1,1,1,Drowning,"American Canal near El Paso, El Paso County, Texas, USA",US Border Patrol,5,Northern America,Northern America,31.751634695944,-106.49251092461
